годы,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
всего,2649.0,742.9,1036.0,903.6,1102.7,1184.8,1094.6,1649.8,847.2,586.1,,674.1,676.2
0,24.5,16.5,13.3,13.2,14.4,13.7,12.5,12.9,9.8,5.2,,7.6,8.3
1-3,44.9,31.7,37.7,43.2,49.5,50.6,43.7,53.1,28.4,13.4,,31.2,34.7
4-7,97.5,32.3,22.6,19.9,25.4,32.3,37.6,49.9,33.8,15.4,,30.7,33.2
8-13,135.4,51.0,51.9,55.5,49.1,44.6,37.7,36.3,25.9,19.1,,32.3,39.4
14-15,82.4,53.4,45.5,44.0,53.0,64.3,67.7,67.0,52.3,36.8,,19.6,17.9
16-17,228.8,171.4,183.0,171.1,158.6,191.4,214.7,230.3,186.4,163.0,,124.8,131.4
18,98.5,58.5,101.9,95.6,92.4,86.1,77.9,89.3,70.8,60.0,,76.7,79.2
19,53.0,23.7,90.1,81.2,57.1,-5.8,-34.2,-18.0,-81.2,-96.4,,-58.1,-78.2
20-24,371.1,137.3,198.5,80.9,148.1,197.0,219.0,350.7,208.5,212.4,,213.7,257.9
25-29,466.6,90.8,115.1,105.9,199.6,193.6,171.5,331.1,144.7,56.9,,73.0,44.4
30-34,389.5,37.9,60.9,50.5,58.1,65.8,55.9,104.1,33.2,16.6,,29.6,22.4
35-39,279.6,16.3,39.6,40.1,53.2,57.7,38.9,83.5,20.1,9.1,,17.7,16.5
40-44,154.7,3.7,29.1,34.6,39.0,50.2,36.1,71.6,24.9,15.4,,13.5,13.5
45-49,74.3,-5.8,19.1,22.6,32.3,43.2,31.4,58.9,22.9,12.4,,15.9,13.1
50-54,30.6,-5.3,10.9,13.7,19.9,28.0,23.0,41.6,18.6,12.3,,13.0,11.6
55-59,32.6,2.2,8.2,10.3,13.5,21.8,19.4,29.8,12.9,7.7,,11.3,12.8
60+,83.7,30.6,10.1,21.6,37.4,50.0,40.5,53.2,33.6,24.2,,23.9,23.5
возраст не указан,0.9,-3.0,-1.2,-0.3,2.3,0.3,1.5,4.4,1.9,2.0,,-2.2,-5.2
